time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,Event
2013-09-19 16:56:53.766,1,0.02,51.03962,13.79292,103,-1,-1,96,100,1379602613,0.02410889,-0.3421478,-1.082184,14.81874,-4.372559,-48.91495,308.3547,305.2163,10,0.03060904,0.1728075,-0.003016563,0.028881,0.01099207,0.2945859,-0.04965181,0.5056925,0.0458232,0.01639816,-0.03387512,-0.08576842,1
2013-09-19 16:56:53.799,2,0.04,51.03953,13.793,102,0.92,-1,48,50,1379602613,0.02410889,-0.3421478,-1.082184,15.76047,-4.238037,-48.35431,306.5759,303.4375,10,-0.02839489,-0.2275261,0.03593217,0.02914676,0.01542586,0.2944804,0.02243572,0.1682356,-0.007058377,0.008416862,-0.04995206,-0.1272977,1
2013-09-19 16:56:53.838,3,0.06,51.03953,13.793,102,0.92,-1,48,50,1379602613,0.06689453,-0.3575287,-0.9258575,17.30757,-4.977951,-47.86377,305.1462,302.0078,10,-0.1652401,-0.143367,0.2065676,0.02914676,0.01542586,0.2944804,0.02243572,0.1682356,-0.007058377,0.008416862,-0.04995206,-0.1272977,1
2013-09-19 16:56:53.873,4,0.08,51.03953,13.793,102,0.92,-1,48,50,1379602613,0.0579834,-0.3494568,-1.067932,17.30757,-4.977951,-47.86377,305.1462,302.0078,10,-0.1652401,-0.143367,0.2065676,0.02914661,0.01357272,0.2943796,-0.0365682,-0.232098,0.03189036,0.01112043,-0.05200167,-0.1252896,1
2013-09-19 16:56:53.894,5,0.09999999,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.04154968,-0.3372955,-0.8847046,16.70218,-6.121475,-48.07397,307.9151,304.7767,10,0.09130781,-0.5222161,-0.2592885,0.009507141,0.02077288,0.3504908,-0.07458122,-0.2766962,-0.2580374,-0.008171295,-0.08210201,-0.02533854,1
2013-09-19 16:56:53.930,6,0.12,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.04154968,-0.3372955,-0.8847046,16.63492,-6.726868,-48.00391,307.7331,304.5947,10,0.1870674,-0.5551735,-0.2399324,0.005469848,0.01582736,0.3507764,0.08306994,-0.5267943,-0.2633618,0.03549105,-0.1030587,-0.05727303,1
2013-09-19 16:56:53.954,7,0.14,51.03953,13.793,102,0.92,-1,48,50,1379602613,0.08711243,-0.399765,-0.9715881,15.89499,-6.390533,-48.07397,309.1509,306.0125,10,-0.2332447,-0.0313984,0.1001748,-0.001179403,-0.005099732,0.3476757,-0.3141576,-0.09670942,0.1100747,0.1422458,-0.1367035,0.04228204,1
2013-09-19 16:56:53.989,8,0.16,51.03953,13.793,102,0.92,-1,48,50,1379602613,0.0003967285,-0.3674011,-0.9319916,15.89499,-6.390533,-48.07397,309.1509,306.0125,10,-0.164031,0.09355312,0.04715073,-0.001179403,-0.005099732,0.3476757,-0.3141576,-0.09670942,0.1100747,0.1422458,-0.1367035,0.04228204,1
2013-09-19 16:56:54.014,9,0.18,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.06304932,-0.3887634,-0.8839417,15.76045,-5.583344,-48.35428,310.3817,307.2433,10,-0.3616498,-0.3963806,-0.3543618,5.571824e-05,-0.001539345,0.3367172,-0.212258,0.05063534,-0.1636153,0.0001864218,-0.04569298,0.05723131,1
2013-09-19 16:56:54.047,10,0.2,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.06304932,-0.3887634,-0.8839417,15.49138,-4.910675,-48.35428,311.896,308.7576,10,-0.502979,-0.9670798,-0.5797683,-0.004243676,-0.003326486,0.33235,-0.3699512,-0.4009755,-0.3584684,-0.05006295,-0.05943111,0.05860003,1
2013-09-19 16:56:54.053,11,0.22,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.04243469,-0.3162842,-1.022827,15.49138,-4.910675,-48.35428,311.896,308.7576,10,-0.4948832,-0.4670284,-0.4351355,-0.02145534,-0.02583709,0.3179501,-0.6345292,-1.306116,-0.6546465,-0.006909005,-0.0216695,0.04189216,1
2013-09-19 16:56:54.074,12,0.24,51.03953,13.793,102,0.92,-1,48,50,1379602613,0.03495789,-0.3569183,-1.115662,14.75145,-4.439819,-48.56451,313.1853,310.0469,10,-0.07218178,0.0760732,-0.1859155,-0.02932718,-0.03455083,0.310105,-0.5031845,-0.4716233,-0.4392421,0.01313613,0.007352864,0.02291542,1
2013-09-19 16:56:54.109,13,0.26,51.03953,13.793,102,0.92,-1,48,50,1379602613,0.03495789,-0.3569183,-1.115662,14.68419,-3.968964,-49.05505,311.1659,308.0275,10,0.3253869,0.232731,0.02529737,-0.0334058,-0.03432766,0.3070609,-0.080483,0.07147831,-0.1900221,-0.009719095,-0.01402586,-0.07016268,1
2013-09-19 16:56:54.134,14,0.28,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.1255341,-0.3837585,-0.8765564,14.95325,-3.968964,-48.91492,310.5276,307.3892,10,0.1795351,-0.6935327,-0.4843129,-0.03449083,-0.02711298,0.3257542,0.2528365,-0.2918049,-0.1662092,-0.0998501,-0.06373514,0.07050504,1
2013-09-19 16:56:54.170,15,0.3,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.1332855,-0.3898315,-0.8921204,13.74248,-3.69989,-49.19522,314.2927,311.1543,10,0.1124544,-0.9333211,-0.6587893,-0.03449083,-0.02711298,0.3257542,0.2528365,-0.2918049,-0.1662092,-0.0998501,-0.06373514,0.07050504,1
2013-09-19 16:56:54.194,16,0.32,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.020401,-0.3785095,-0.9246368,13.13707,-3.632614,-49.40546,315.4978,312.3594,10,-0.2397343,-0.4704794,-0.230674,-0.06583919,-0.06118608,0.3318291,-0.1122511,-0.6999352,-0.4094867,0.03240629,-0.03985824,0.05074979,1
2013-09-19 16:56:54.228,17,0.34,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.07725525,-0.4000702,-0.9411469,12.66623,-3.161758,-49.33536,316.2292,313.0908,10,-0.3149127,-0.2757906,-0.09254671,-0.07058918,-0.06607307,0.3311213,-0.2480178,-0.4750702,-0.2347811,0.04203742,-0.05340589,0.01897806,1
2013-09-19 16:56:54.233,18,0.36,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.07725525,-0.4000702,-0.9411469,12.66623,-3.161758,-49.33536,316.2292,313.0908,10,-0.3493921,-0.1565811,0.03920386,-0.07292848,-0.07005758,0.3269882,-0.3231962,-0.2803814,-0.09665383,0.01517431,-0.07346105,0.03107096,1
2013-09-19 16:56:54.254,19,0.38,51.03953,13.793,102,0.92,-1,48,50,1379602613,-0.1574554,-0.427597,-0.8895569,11.92632,-3.229019,-49.12512,315.8204,312.682,10,-0.4573564,-0.2006902,0.1553331,-0.07209277,-0.07572693,0.3208534,-0.34987,-0.1218059,0.1230943,-0.03042497,-0.1165693,0.0008734372,1
